"year","production_area","country","iso","source","species","common_name","sci_name","quantity","value","lobster","salmon","general_name"
1950,37,"Algeria","DZA","Catches","NEP","Norway lobster","Nephrops norvegicus",200,NA,TRUE,FALSE,"Lobster"
1950,81,"Australia","AUS","Catches","ASA","Australian salmon","Arripis trutta",200,NA,FALSE,TRUE,"Salmon"
1950,57,"Australia","AUS","Catches","ASA","Australian salmon","Arripis trutta",1800,NA,FALSE,TRUE,"Salmon"
1950,57,"Australia","AUS","Catches","LOA","Australian spiny lobster","Panulirus cygnus",6000,NA,TRUE,FALSE,"Lobster"
1950,27,"Belgium","BEL","Catches","NEP","Norway lobster","Nephrops norvegicus",800,NA,TRUE,FALSE,"Lobster"
1950,31,"Belize","BLZ","Catches","SLC","Caribbean spiny lobster","Panulirus argus",200,NA,TRUE,FALSE,"Lobster"
1950,31,"Bermuda","BMU","Catches","SLC","Caribbean spiny lobster","Panulirus argus",150,NA,TRUE,FALSE,"Lobster"
1950,41,"Brazil","BRA","Catches","SLC","Caribbean spiny lobster","Panulirus argus",500,NA,TRUE,FALSE,"Lobster"
1950,67,"Canada","CAN","Catches","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",6000,NA,FALSE,TRUE,"Salmon"
1950,67,"Canada","CAN","Catches","CHU","Chum(=Keta=Dog) salmon","Oncorhynchus keta",36000,NA,FALSE,TRUE,"Salmon"
1950,67,"Canada","CAN","Catches","COH","Coho(=Silver) salmon","Oncorhynchus kisutch",9900,NA,FALSE,TRUE,"Salmon"
1950,21,"Canada","CAN","Catches","LBA","American lobster","Homarus americanus",22600,NA,TRUE,FALSE,"Lobster"
1950,67,"Canada","CAN","Catches","PIN","Pink(=Humpback) salmon","Oncorhynchus gorbuscha",18300,NA,FALSE,TRUE,"Salmon"
1950,21,"Canada","CAN","Catches","SAL","Atlantic salmon","Salmo salar",2700,NA,FALSE,TRUE,"Salmon"
1950,67,"Canada","CAN","Catches","SOC","Sockeye(=Red) salmon","Oncorhynchus nerka",13300,NA,FALSE,TRUE,"Salmon"
1950,87,"Chile","CHL","Catches","LOQ","Craylets, squat lobsters","Galatheidae",200,NA,TRUE,FALSE,"Lobster"
1950,31,"Colombia","COL","Catches","SLC","Caribbean spiny lobster","Panulirus argus",100,NA,TRUE,FALSE,"Lobster"
