"year","production_area","country","iso","general_name","species","common_name","sci_name","quantity","aquaculture","log10_aqua","post"
1950,37,"Algeria","DZA","Lobster","NEP","norway lobster","Nephrops norvegicus",200,0,0,0
1950,81,"Australia","AUS","Salmon","ASA","australian salmon","Arripis trutta",200,0,0,0
1950,57,"Australia","AUS","Salmon","ASA","australian salmon","Arripis trutta",1800,0,0,0
1950,57,"Australia","AUS","Lobster","LOA","australian spiny lobster","Panulirus cygnus",6000,0,0,0
1950,27,"Belgium","BEL","Lobster","NEP","norway lobster","Nephrops norvegicus",800,0,0,0
1950,31,"Belize","BLZ","Lobster","SLC","caribbean spiny lobster","Panulirus argus",200,0,0,0
1950,31,"Bermuda","BMU","Lobster","SLC","caribbean spiny lobster","Panulirus argus",150,0,0,0
1950,41,"Brazil","BRA","Lobster","SLC","caribbean spiny lobster","Panulirus argus",500,0,0,0
1950,67,"Canada","CAN","Salmon","CHI","chinook salmon","Oncorhynchus tshawytscha",6000,0,0,0
1950,67,"Canada","CAN","Salmon","CHU","chum salmon","Oncorhynchus keta",36000,0,0,0
1950,67,"Canada","CAN","Salmon","COH","coho salmon","Oncorhynchus kisutch",9900,0,0,0
1950,21,"Canada","CAN","Lobster","LBA","american lobster","Homarus americanus",22600,0,0,0
1950,67,"Canada","CAN","Salmon","PIN","pink salmon","Oncorhynchus gorbuscha",18300,0,0,0
1950,21,"Canada","CAN","Salmon","SAL","atlantic salmon","Salmo salar",2700,0,0,0
1950,67,"Canada","CAN","Salmon","SOC","sockeye salmon","Oncorhynchus nerka",13300,0,0,0
1950,87,"Chile","CHL","Lobster","LOQ","craylets, squat lobsters","Galatheidae",200,0,0,0
1950,31,"Colombia","COL","Lobster","SLC","caribbean spiny lobster","Panulirus argus",100,0,0,0
1950,31,"Cuba","CUB","Lobster","SLC","caribbean spiny lobster","Panulirus argus",1000,0,0,0
1950,27,"Denmark","DNK","Lobster","LBE","european lobster","Homarus gammarus",200,0,0,0
1950,27,"Denmark","DNK","Lobster","NEP","norway lobster","Nephrops norvegicus",600,0,0,0
1950,27,"Denmark","DNK","Salmon","SAL","atlantic salmon","Salmo salar",1400,0,0,0
1950,27,"Finland","FIN","Salmon","SAL","atlantic salmon","Salmo salar",400,0,0,0
1950,34,"France","FRA","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",400,0,0,0
1950,27,"France","FRA","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",1100,0,0,0
1950,27,"France","FRA","Lobster","LBE","european lobster","Homarus gammarus",400,0,0,0
1950,27,"France","FRA","Lobster","NEP","norway lobster","Nephrops norvegicus",3700,0,0,0
1950,51,"French Southern Territories","ATF","Lobster","JSP","st.paul rock lobster","Jasus paulensis",200,0,0,0
1950,27,"Germany","DEU","Salmon","SAL","atlantic salmon","Salmo salar",200,0,0,0
1950,71,"Indonesia","IDN","Lobster","SLV","tropical spiny lobsters","Panulirus spp",100,0,0,0
1950,27,"Ireland","IRL","Lobster","LBE","european lobster","Homarus gammarus",100,0,0,0
1950,27,"Ireland","IRL","Salmon","SAL","atlantic salmon","Salmo salar",1000,0,0,0
1950,37,"Italy","ITA","Lobster","NEP","norway lobster","Nephrops norvegicus",1000,0,0,0
1950,37,"Italy","ITA","Lobster","SLO","common spiny lobster","Palinurus elephas",300,0,0,0
1950,4,"Japan","JPN","Salmon","CHU","chum salmon","Oncorhynchus keta",1000,0,0,0
1950,61,"Japan","JPN","Salmon","CHU","chum salmon","Oncorhynchus keta",7000,0,0,0
1950,61,"Japan","JPN","Lobster","LOJ","longlegged spiny lobster","Panulirus longipes",1000,0,0,0
1950,4,"Japan","JPN","Salmon","PIN","pink salmon","Oncorhynchus gorbuscha",200,0,0,0
1950,61,"Japan","JPN","Salmon","PIN","pink salmon","Oncorhynchus gorbuscha",6800,0,0,0
1950,31,"Martinique","MTQ","Lobster","SLC","caribbean spiny lobster","Panulirus argus",100,0,0,0
1950,81,"New Zealand","NZL","Lobster","LOR","red rock lobster","Jasus edwardsii",2700,0,0,0
1950,27,"Norway","NOR","Lobster","LBE","european lobster","Homarus gammarus",1000,0,0,0
1950,27,"Norway","NOR","Salmon","SAL","atlantic salmon","Salmo salar",700,0,0,0
1950,27,"Portugal","PRT","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",200,0,0,0
