"year","years_since","years_since_tech_improve","post","group_text","group","country","species","genus","sci_name","landings","aquaculture","price_per_ton_wild"
1950,-12,-33,0,"Lobster","0","AUS","LOA","Panulirus","Panulirus cygnus",6000,0,2385
1950,-12,-33,0,"Lobster","0","BLZ","SLC","Panulirus","Panulirus argus",200,0,2640.96523297471
1950,-12,-33,0,"Lobster","0","BMU","SLC","Panulirus","Panulirus argus",150,0,2640.96523297471
1950,-12,-33,0,"Lobster","0","BRA","SLC","Panulirus","Panulirus argus",500,0,2640.96523297471
1950,-12,-33,0,"Lobster","0","COL","SLC","Panulirus","Panulirus argus",100,0,2640.96523297471
1950,-12,-33,0,"Lobster","0","CUB","SLC","Panulirus","Panulirus argus",1000,0,2640.96523297471
1950,-12,-33,0,"Lobster","0","JPN","LOJ","Panulirus","Panulirus longipes",1000,0,1831.59521255338
1950,-12,-33,0,"Lobster","0","MTQ","SLC","Panulirus","Panulirus argus",100,0,2640.96523297471
1950,-12,-33,0,"Lobster","0","TCA","SLC","Panulirus","Panulirus argus",100,0,2640.96523297471
1950,-12,-33,0,"Lobster","0","USA","SLC","Panulirus","Panulirus argus",707,0,2640.96523297471
1950,-12,-33,0,"Lobster","0","VEN","SLC","Panulirus","Panulirus argus",200,0,2640.96523297471
1950,-12,-33,0,"Lobster","0","YEM","LOK","Panulirus","Panulirus homarus",300,0,2323.72406770224
1951,-11,-32,0,"Lobster","0","AUS","LOA","Panulirus","Panulirus cygnus",6000,0,2534
1951,-11,-32,0,"Lobster","0","BLZ","SLC","Panulirus","Panulirus argus",200,0,2598.68921600472
1951,-11,-32,0,"Lobster","0","BMU","SLC","Panulirus","Panulirus argus",200,0,2598.68921600472
1951,-11,-32,0,"Lobster","0","BRA","SLC","Panulirus","Panulirus argus",600,0,2598.68921600472
1951,-11,-32,0,"Lobster","0","COL","SLC","Panulirus","Panulirus argus",100,0,2598.68921600472
1951,-11,-32,0,"Lobster","0","CUB","SLC","Panulirus","Panulirus argus",1000,0,2598.68921600472
1951,-11,-32,0,"Lobster","0","JPN","LOJ","Panulirus","Panulirus longipes",1000,0,1924.70994960741
1951,-11,-32,0,"Lobster","0","MTQ","SLC","Panulirus","Panulirus argus",100,0,2598.68921600472
1951,-11,-32,0,"Lobster","0","TCA","SLC","Panulirus","Panulirus argus",100,0,2598.68921600472
1951,-11,-32,0,"Lobster","0","USA","SLC","Panulirus","Panulirus argus",1405,0,2598.68921600472
1951,-11,-32,0,"Lobster","0","YEM","LOK","Panulirus","Panulirus homarus",300,0,2273.22138317422
1952,-10,-31,0,"Lobster","0","AUS","LOA","Panulirus","Panulirus cygnus",6600,0,3362
1952,-10,-31,0,"Lobster","0","BLZ","SLC","Panulirus","Panulirus argus",200,0,3330.17453396315
1952,-10,-31,0,"Lobster","0","BMU","SLC","Panulirus","Panulirus argus",150,0,3330.17453396315
1952,-10,-31,0,"Lobster","0","BRA","SLC","Panulirus","Panulirus argus",500,0,3330.17453396315
1952,-10,-31,0,"Lobster","0","COL","SLC","Panulirus","Panulirus argus",100,0,3330.17453396315
1952,-10,-31,0,"Lobster","0","CUB","SLC","Panulirus","Panulirus argus",1000,0,3330.17453396315
1952,-10,-31,0,"Lobster","0","JPN","LOJ","Panulirus","Panulirus longipes",1500,0,3687.10086833611
1952,-10,-31,0,"Lobster","0","MTQ","SLC","Panulirus","Panulirus argus",100,0,3330.17453396315
1952,-10,-31,0,"Lobster","0","TCA","SLC","Panulirus","Panulirus argus",100,0,3330.17453396315
1952,-10,-31,0,"Lobster","0","TWN","LOJ","Panulirus","Panulirus longipes",100,0,3687.10086833611
1952,-10,-31,0,"Lobster","0","USA","SLC","Panulirus","Panulirus argus",731,0,3330.17453396315
1952,-10,-31,0,"Lobster","0","VEN","SLC","Panulirus","Panulirus argus",200,0,3330.17453396315
1952,-10,-31,0,"Lobster","0","YEM","LOK","Panulirus","Panulirus homarus",700,0,2939.25443745861
1953,-9,-30,0,"Lobster","0","AUS","LOA","Panulirus","Panulirus cygnus",7100,0,2616
1953,-9,-30,0,"Lobster","0","BLZ","SLC","Panulirus","Panulirus argus",200,0,2628.61800664027
1953,-9,-30,0,"Lobster","0","BMU","SLC","Panulirus","Panulirus argus",200,0,2628.61800664027
1953,-9,-30,0,"Lobster","0","BRA","SLC","Panulirus","Panulirus argus",500,0,2628.61800664027
1953,-9,-30,0,"Lobster","0","COL","SLC","Panulirus","Panulirus argus",100,0,2628.61800664027
1953,-9,-30,0,"Lobster","0","CUB","SLC","Panulirus","Panulirus argus",1000,0,2628.61800664027
1953,-9,-30,0,"Lobster","0","JPN","LOJ","Panulirus","Panulirus longipes",1300,0,3105.02904208808
1953,-9,-30,0,"Lobster","0","MTQ","SLC","Panulirus","Panulirus argus",100,0,2628.61800664027
1953,-9,-30,0,"Lobster","0","TCA","SLC","Panulirus","Panulirus argus",100,0,2628.61800664027
1953,-9,-30,0,"Lobster","0","TWN","LOJ","Panulirus","Panulirus longipes",100,0,3105.02904208808
1953,-9,-30,0,"Lobster","0","USA","SLC","Panulirus","Panulirus argus",905,0,2628.61800664027
1953,-9,-30,0,"Lobster","0","VEN","SLC","Panulirus","Panulirus argus",100,0,2628.61800664027
1953,-9,-30,0,"Lobster","0","YEM","LOK","Panulirus","Panulirus homarus",700,0,2259.01643854736
1954,-8,-29,0,"Lobster","0","AUS","LOA","Panulirus","Panulirus cygnus",7900,0,2909
1954,-8,-29,0,"Lobster","0","BLZ","SLC","Panulirus","Panulirus argus",200,0,2769.05079083605
1954,-8,-29,0,"Lobster","0","BMU","SLC","Panulirus","Panulirus argus",200,0,2769.05079083605
1954,-8,-29,0,"Lobster","0","BRA","SLC","Panulirus","Panulirus argus",500,0,2769.05079083605
1954,-8,-29,0,"Lobster","0","COL","SLC","Panulirus","Panulirus argus",100,0,2769.05079083605
