3Alpha_Code,Taxonomic_Code,Name_en,Scientific_Name
LAU,1020100101,Sea lamprey,Petromyzon marinus
LAR,1020100201,River lamprey,Lampetra fluviatilis
IDK,1020100203,Least brook lamprey,Lampetra aepyptera
IDL,1020100204,Western American river lamprey,Lampetra ayresii
IDN,1020100205,European brook lamprey,Lampetra planeri
IDO,1020100206,Western brook lamprey,Lampetra richardsoni
IKQ,1020100207,Turkish brook lamprey,Lampetra lanceolata
IKR,1020100208,Pacific brook lamprey,Lampetra pacifica
LAY,1020100401,Silver lamprey,Ichthyomyzon unicuspis
IDE,1020100402,Ohio lamprey,Ichthyomyzon bdellium
IDG,1020100403,Chestnut lamprey,Ichthyomyzon castaneus
IDH,1020100404,Northern brook lamprey,Ichthyomyzon fossor
IDI,1020100405,Southern brook lamprey,Ichthyomyzon gagei
IDJ,1020100406,Mountain brook lamprey,Ichthyomyzon greeleyi
LAF,1020100501,Ukrainian brook lamprey,Eudontomyzon mariae
ICJ,1020100502,Carpathian lamprey,Eudontomyzon danfordi
IKG,1020100503,,Eudontomyzon graecus
IKJ,1020100504,Greek brook lamprey,Eudontomyzon hellenicus
IKL,1020100505,Korean lamprey,Eudontomyzon morii
LAW,1020100901,Caspian lamprey,Caspiomyzon wagneri
LSZ,1020101101,Arctic lamprey,Lethenteron camtschaticum
IDQ,1020101102,Siberian lamprey,Lethenteron kessleri
IDT,1020101103,Western Transcaucasian lamprey,Lethenteron ninae
IDU,1020101104,Far Eastern brook lamprey,Lethenteron reissneri
IDV,1020101105,Lombardy brook lamprey,Lethenteron zanandreai
IKT,1020101106,Alaskan brook lamprey,Lethenteron alaskense
IKU,1020101107,American brook lamprey,Lethenteron appendix
LAO,1020101202,Pacific lamprey,Entosphenus tridentatus
IJX,1020101203,Northern California lamprey,Entosphenus folletti
IJY,1020101204,Kern brook lamprey,Entosphenus hubbsi
IJZ,1020101205,Pit–Klamath brook lamprey,Entosphenus lethophagus
IKD,1020101206,Vancouver lamprey,Entosphenus macrostomus
IKE,1020101207,Miller Lake lamprey,Entosphenus minimus
IKF,1020101208,Klamath lamprey,Entosphenus similis
IKV,1020101301,Jacona lamprey,Tetrapleurodon geminis
IKW,1020101302,Chapala lamprey,Tetrapleurodon spadiceus
LAS,10201XXXXX,Lampreys nei,Petromyzontidae
ICE,1020200101,Chilean lamprey,Mordacia lapicida
ICF,1020200102,,Mordacia praecox
LAK,1020200103,Australian lamprey,Mordacia mordax
LAE,1020300701,Pouched lamprey,Geotria australis
MYP,1030300201,Brown hagfish,Paramyxine atami
MYG,1030300301,Hagfish,Myxine glutinosa
MYE,1030300401,,Nemamyxine elongata
MYB,1030300601,Inshore hagfish,Eptatretus burgeri
MYU,1030300602,Pacific hagfish,Eptatretus stoutii
MWC,1030300603,Broadgilled hagfish,Eptatretus cirrhatus
MYX,10303XXXXX,Hagfishes nei,Myxinidae
HEF,1040100101,Horn shark,Heterodontus francisci
HEG,1040100102,Crested bullhead shark,Heterodontus galeatus
HEJ,1040100103,Japanese bullhead shark,Heterodontus japonicus
